contrast_0,contrast_45,contrast_90,contrast_135,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,energy_0,energy_45,energy_90,energy_135,correlation_0,correlation_45,correlation_90,correlation_135,label
803.3084865,795.2419839,98.44335172,879.843045,10.23982843,10.15514033,2.341390931,10.77004229,0.736487059,0.7357061,0.8116966,0.734536086,0.718946457,0.719026431,0.727316762,0.718963655,0.912950187,0.913987253,0.989321822,0.904836869,dress
534.0518382,597.5215994,290.3042892,770.9202614,6.830667892,7.188589004,4.332598039,8.755186467,0.745200858,0.740355017,0.7888672,0.735318186,0.708380618,0.706173471,0.710644255,0.705439891,0.942620369,0.935981109,0.968809267,0.917403053,dress
248.8365502,404.1661669,230.1854013,413.1230604,5.234375,7.363214148,5.307552083,7.342668205,0.734877296,0.722852737,0.740448158,0.724771668,0.702288284,0.701195809,0.706663001,0.701226823,0.972307095,0.955145531,0.974384681,0.954151492,dress
441.0563419,503.2654825,189.1140625,514.7581699,5.290349265,5.842675894,3.43817402,5.844675125,0.828306886,0.827346769,0.846051754,0.825452278,0.80988175,0.810342566,0.816201516,0.810326932,0.935551652,0.926699394,0.972365158,0.925025484,dress
305.6475184,350.2554095,106.0275123,366.5466513,4.84252451,5.238600538,2.218658088,5.366951173,0.810399111,0.808210318,0.852431499,0.80663618,0.793302423,0.792382985,0.799352043,0.79216829,0.955456928,0.949117918,0.984548243,0.946751267,dress
323.1492341,354.8350788,89.1279565,346.9737947,4.533547794,4.783836986,2.338128064,4.778239139,0.845719263,0.84405787,0.863251364,0.84482693,0.834098214,0.83376901,0.841495984,0.834074987,0.942981101,0.937571359,0.98426639,0.93895445,dress
644.0557598,740.7981084,265.7437653,736.9013303,9.700735294,10.71404844,6.317754289,10.72019992,0.643744208,0.638126466,0.666225667,0.636015586,0.608105281,0.606804022,0.613616804,0.606790777,0.9452063,0.937121531,0.977392112,0.937452287,dress
462.1091912,529.4448289,142.2845282,542.0835986,6.390900735,6.877723952,2.81752451,6.970026913,0.774021114,0.767914285,0.804647046,0.768975435,0.740894249,0.739186102,0.74439523,0.739125251,0.94776741,0.940324244,0.983914508,0.938899679,dress
586.4469056,717.0047213,321.5631127,779.2752018,8.851930147,10.11604767,6.203952206,10.64547482,0.693957603,0.690283899,0.721625556,0.688062171,0.669464777,0.668960647,0.678478024,0.668760218,0.941197002,0.928260718,0.967742905,0.922030299,dress
168.9776654,249.1321492,119.8973652,228.0361092,3.11127451,3.856824298,2.504564951,3.741730104,0.883443717,0.881207776,0.893013932,0.882176321,0.875702526,0.875137173,0.879679078,0.875244773,0.960780974,0.942379778,0.972172311,0.947258949,dress
418.5794424,403.7301653,140.4915748,553.6044906,5.580238971,5.748558247,2.662867647,6.490519031,0.776487141,0.768094489,0.835420842,0.765192903,0.726079192,0.726344358,0.733783009,0.725102516,0.953989855,0.955711275,0.984543223,0.939270238,dress
220.0976103,325.0307113,181.6699449,335.3483122,5.131893382,6.2672203,4.380698529,6.253102653,0.753786625,0.747000702,0.75803143,0.747256766,0.729606415,0.727822611,0.730708969,0.727453614,0.974232643,0.962056797,0.978731462,0.960852349,dress
212.1688113,302.5880815,137.0965686,312.7438062,3.590410539,4.483967705,2.682291667,4.633233372,0.856303131,0.851679721,0.871187917,0.85069127,0.838365927,0.837730869,0.843695186,0.837637546,0.962222991,0.946305713,0.975589729,0.944503578,dress
335.1954044,408.176286,145.8757506,388.129258,4.583088235,5.455732411,2.808501838,5.309357939,0.814676974,0.797193838,0.837795316,0.79912231,0.746538975,0.746250361,0.754793097,0.746664786,0.956698314,0.947328945,0.981121501,0.949915813,dress
